season,n_teams,policy,draft_slot,seed,roster_value,starter_value,bench_value,roster_size,legal
2020-21,10,rung0_adp,5,7,52.680355204207906,54.512457311990055,-1.8321021077821522,13,True
2020-21,10,rung0_adp,6,0,48.002624447798624,50.30491627251122,-2.3022918247125874,13,True
2020-21,10,rung0_adp,6,1,76.87369429747169,72.53831945075865,4.3353748467130195,13,True
2020-21,10,rung0_adp,6,2,57.72313635476566,55.96471629024271,1.7584200645229622,13,True
2020-21,10,rung0_adp,6,3,76.34475325274322,69.12593270473836,7.218820548004848,13,True
2020-21,10,rung0_adp,6,4,62.00521010626212,55.131669941601004,6.873540164661121,13,True
2020-21,10,rung0_adp,6,5,69.71398336494647,62.473207523307764,7.240775841638701,13,True
2020-21,10,rung0_adp,6,6,62.79462443871306,52.5197159229332,10.27490851577986,13,True
2020-21,10,rung0_adp,6,7,58.00669781144847,51.57805139590038,6.428646415548094,13,True
2020-21,10,rung0_adp,7,0,64.37215136565099,56.529318833743986,7.842832531907,13,True
2020-21,10,rung0_adp,7,1,34.425481710900264,37.080185099673855,-2.6547033887735974,13,True
2020-21,10,rung0_adp,7,2,49.00721277840586,46.997638746059835,2.0095740323460234,13,True
2020-21,10,rung0_adp,7,3,49.11062484765113,42.530261934162745,6.580362913488397,13,True
2020-21,10,rung0_adp,7,4,67.20344149810752,55.113993599002924,12.089447899104604,13,True
2020-21,10,rung0_adp,7,5,70.03971007690714,62.47391805436917,7.565792022537974,13,True
2020-21,10,rung0_adp,7,6,69.25826247913534,65.1509997281243,4.107262751011034,13,True
2020-21,10,rung0_adp,7,7,53.25112541257126,46.34848590873879,6.902639503832489,13,True
2020-21,10,rung0_adp,8,0,64.09036779061645,58.2929868089674,5.797380981649042,13,True
2020-21,10,rung0_adp,8,1,56.724032880941756,51.03507320464304,5.688959676298714,13,True
2020-21,10,rung0_adp,8,2,53.76726521729055,53.45090280282377,0.3163624144667878,13,True
2020-21,10,rung0_adp,8,3,75.5411435592264,76.92083794639818,-1.3796943871717748,13,True
2020-21,10,rung0_adp,8,4,67.99628717792403,63.916033909638436,4.080253268285599,13,True
2020-21,10,rung0_adp,8,5,71.87335777612147,65.40613160207785,6.467226174043595,13,True
2020-21,10,rung0_adp,8,6,52.54024401339663,46.38905582011988,6.151188193276759,13,True
2020-21,10,rung0_adp,8,7,58.07422311986502,61.724720525438094,-3.6504974055730823,13,True
2020-21,10,rung0_adp,9,0,47.60449032349472,54.990103165998775,-7.385612842504059,13,True
2020-21,10,rung0_adp,9,1,69.4911167928416,63.66761956370723,5.823497229134366,13,True
2020-21,10,rung0_adp,9,2,78.02322527105348,73.81102451335585,4.212200757697625,13,True
2020-21,10,rung0_adp,9,3,65.56999710996016,60.692607528874184,4.8773895810859775,13,True
